id,year,event,location,content,label,source
37,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
38,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
39,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
40,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
41,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
42,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
43,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
44,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
45,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
46,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
47,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
48,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
49,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
50,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
51,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
52,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
53,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
54,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
55,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
56,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
57,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
58,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
59,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
60,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
61,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
62,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
63,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
64,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
65,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
66,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
67,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
68,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
69,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
70,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
71,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
72,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
73,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
74,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
75,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
76,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
77,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
78,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
79,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
80,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
81,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
82,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
83,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
84,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
85,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
86,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
87,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
88,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
89,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
90,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
91,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
92,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
93,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
94,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
95,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
96,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
97,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
98,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
99,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
100,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
101,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
102,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
103,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
104,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
105,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
106,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
107,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
108,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
109,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
110,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
111,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
112,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
113,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
114,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
115,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
116,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
117,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
118,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
119,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
120,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
121,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
122,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
123,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
124,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
125,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
126,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
127,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
128,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
129,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
130,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
131,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
132,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
133,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
134,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
135,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
136,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
137,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
138,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
139,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
140,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
141,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
142,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
143,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
144,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
145,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
146,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
147,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
148,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
149,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
150,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
151,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
